Time [fs],RK4 field real,RK4 field imaginary
-89.7,1.31076e-05,-2.5616e-15
-89.6,1.34747e-05,-2.78288e-15
-89.5,1.38516e-05,-3.02299e-15
-89.4,1.42386e-05,-3.28352e-15
-89.3,1.46359e-05,-3.56618e-15
-89.2,1.50439e-05,-3.8728e-15
-89.1,1.54628e-05,-4.2054e-15
-89,1.58929e-05,-4.56615e-15
-88.9,1.63344e-05,-4.95738e-15
-88.8,1.67877e-05,-5.38164e-15
-88.7,1.7253e-05,-5.84166e-15
-88.6,1.77307e-05,-6.34042e-15
-88.5,1.8221e-05,-6.88113e-15
-88.4,1.87243e-05,-7.46725e-15
-88.3,1.9241e-05,-8.10256e-15
-88.2,1.97712e-05,-8.79111e-15
-88.1,2.03155e-05,-9.53728e-15
-88,2.08741e-05,-1.03458e-14
-87.9,2.14474e-05,-1.12219e-14
-87.8,2.20358e-05,-1.2171e-14
-87.7,2.26396e-05,-1.31992e-14
-87.6,2.32592e-05,-1.43129e-14
-87.5,2.38951e-05,-1.55192e-14
-87.4,2.45476e-05,-1.68255e-14
-87.3,2.52171e-05,-1.82401e-14
-87.2,2.59041e-05,-1.97719e-14
-87.1,2.6609e-05,-2.14303e-14
-87,2.73322e-05,-2.32256e-14
-86.9,2.80743e-05,-2.5169e-14
-86.8,2.88355e-05,-2.72726e-14
-86.7,2.96166e-05,-2.95491e-14
-86.6,3.04178e-05,-3.20128e-14
-86.5,3.12397e-05,-3.46787e-14
-86.4,3.20829e-05,-3.75631e-14
-86.3,3.29478e-05,-4.06837e-14
-86.2,3.3835e-05,-4.40594e-14
-86.1,3.4745e-05,-4.77108e-14
-86,3.56783e-05,-5.16601e-14
-85.9,3.66357e-05,-5.59311e-14
-85.8,3.76175e-05,-6.05496e-14
-85.7,3.86245e-05,-6.55434e-14
-85.6,3.96572e-05,-7.09425e-14
-85.5,4.07162e-05,-7.67793e-14
-85.4,4.18023e-05,-8.30886e-14
